,city,area,rooms,bathroom,parking_spaces,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),target
16,4.0,110.0,2.0,2.0,1.0,0.0,1.0,700.0,3000.0,122.0,39.0,8.258940696716309
17,3.0,88.0,2.0,3.0,1.0,1.0,0.0,1614.0,3500.0,221.0,16.0,8.585226058959961
18,3.0,56.0,2.0,1.0,0.0,0.0,1.0,800.0,1220.0,0.0,16.0,7.61923360824585
19,4.0,600.0,4.0,5.0,6.0,0.0,1.0,0.0,12000.0,9500.0,181.0,9.98419189453125
20,4.0,100.0,7.0,4.0,0.0,0.0,1.0,0.0,3800.0,118.0,58.0,8.288283348083496
21,0.0,42.0,1.0,1.0,1.0,1.0,0.0,470.0,2690.0,172.0,36.0,8.122371673583984
22,4.0,160.0,3.0,2.0,2.0,0.0,0.0,1530.0,1900.0,167.0,25.0,8.19505786895752
23,4.0,35.0,1.0,1.0,0.0,0.0,1.0,0.0,1100.0,3.0,14.0,7.019296646118164
24,3.0,90.0,3.0,2.0,1.0,0.0,1.0,800.0,1800.0,118.0,24.0,7.916807651519775
25,4.0,49.0,1.0,1.0,1.0,0.0,1.0,480.0,3500.0,42.0,45.0,8.310906410217285
26,4.0,41.0,1.0,1.0,1.0,1.0,0.0,600.0,3000.0,0.0,39.0,8.199738502502441
27,0.0,64.0,2.0,2.0,1.0,0.0,1.0,352.0,1500.0,80.0,20.0,7.577121734619141
28,1.0,208.0,3.0,2.0,4.0,0.0,1.0,0.0,3180.0,100.0,48.0,8.110426902770996
29,4.0,20.0,1.0,1.0,0.0,0.0,0.0,602.0,1800.0,130.0,23.0,7.846199035644531
30,4.0,55.0,2.0,2.0,2.0,0.0,1.0,780.0,1068.0,142.0,14.0,7.603399276733398
31,4.0,32.0,1.0,1.0,0.0,0.0,1.0,515.0,1700.0,29.0,22.0,7.726212501525879
32,4.0,80.0,2.0,2.0,1.0,0.0,1.0,1208.0,2550.0,216.0,33.0,8.29604721069336
33,3.0,45.0,1.0,1.0,1.0,0.0,0.0,2450.0,2500.0,593.0,33.0,8.6264066696167
34,4.0,350.0,4.0,4.0,3.0,0.0,1.0,2100.0,4000.0,500.0,51.0,8.802672386169434
35,2.0,38.0,1.0,1.0,2.0,1.0,1.0,450.0,1750.0,0.0,26.0,7.708410739898682
36,4.0,30.0,1.0,1.0,0.0,0.0,1.0,460.0,1600.0,0.0,21.0,7.64108419418335
37,0.0,80.0,3.0,2.0,1.0,0.0,1.0,0.0,11000.0,425.0,181.0,9.359707832336426
38,4.0,70.0,2.0,1.0,0.0,1.0,1.0,0.0,1150.0,59.0,18.0,7.113142013549805
39,2.0,40.0,1.0,1.0,1.0,0.0,0.0,390.0,2990.0,0.0,44.0,8.138856887817383
40,4.0,300.0,4.0,6.0,4.0,0.0,1.0,3700.0,12000.0,1584.0,153.0,9.766578674316406
41,4.0,240.0,3.0,2.0,3.0,0.0,1.0,0.0,3500.0,292.0,53.0,8.254789352416992
42,0.0,200.0,4.0,2.0,1.0,1.0,1.0,850.0,2550.0,9.0,34.0,8.144389152526855
43,0.0,45.0,1.0,1.0,1.0,0.0,1.0,500.0,1631.0,192.0,12.0,7.756195545196533
44,4.0,360.0,4.0,5.0,0.0,0.0,1.0,4000.0,6410.0,2000.0,82.0,9.432764053344727
45,4.0,40.0,1.0,1.0,1.0,0.0,0.0,978.0,2829.0,0.0,33.0,8.253487586975098
46,0.0,100.0,3.0,1.0,0.0,1.0,1.0,700.0,1220.0,10.0,17.0,7.574558258056641
47,2.0,42.0,1.0,1.0,2.0,0.0,0.0,190.0,1770.0,17.0,26.0,7.602900505065918
48,1.0,250.0,3.0,3.0,2.0,0.0,1.0,2200.0,1700.0,256.0,22.0,8.337827682495117
49,1.0,48.0,1.0,1.0,1.0,0.0,0.0,505.0,1600.0,59.0,21.0,7.689828872680664
50,3.0,90.0,3.0,3.0,1.0,0.0,1.0,1250.0,3800.0,147.0,49.0,8.565411567687988
51,4.0,45.0,1.0,2.0,1.0,0.0,0.0,856.0,3900.0,150.0,50.0,8.508556365966797
52,3.0,150.0,2.0,3.0,4.0,0.0,1.0,1700.0,4000.0,700.0,52.0,8.772300720214844
53,4.0,60.0,2.0,1.0,0.0,0.0,1.0,200.0,1445.0,0.0,19.0,7.417580604553223
54,4.0,31.0,1.0,1.0,0.0,0.0,1.0,370.0,2350.0,56.0,30.0,7.939871788024902
55,4.0,210.0,4.0,5.0,4.0,1.0,1.0,1650.0,9000.0,772.0,115.0,9.35366153717041
56,4.0,280.0,3.0,1.0,2.0,0.0,1.0,0.0,6000.0,113.0,91.0,8.733110427856445
57,1.0,93.0,2.0,3.0,2.0,0.0,1.0,663.0,5500.0,133.0,70.0,8.758883476257324
58,2.0,75.0,3.0,2.0,1.0,0.0,1.0,340.0,1800.0,109.0,27.0,7.730614185333252
59,4.0,194.0,3.0,4.0,3.0,0.0,1.0,0.0,4000.0,70.0,61.0,8.326517105102539
60,4.0,41.0,1.0,1.0,1.0,0.0,0.0,523.0,4000.0,131.0,51.0,8.45659351348877
61,3.0,65.0,1.0,1.0,1.0,0.0,0.0,2000.0,5100.0,250.0,66.0,8.911529541015625
62,4.0,70.0,2.0,1.0,1.0,0.0,1.0,761.0,2150.0,67.0,28.0,8.008698463439941
63,4.0,278.0,4.0,5.0,2.0,0.0,0.0,4052.0,9000.0,1261.0,115.0,9.577134132385254
64,3.0,35.0,1.0,1.0,0.0,0.0,1.0,306.0,1521.0,21.0,20.0,7.533158779144287
65,1.0,300.0,4.0,4.0,3.0,0.0,1.0,2300.0,6000.0,417.0,77.0,9.081938743591309
66,4.0,61.0,2.0,1.0,1.0,0.0,1.0,459.0,1850.0,0.0,24.0,7.755338668823242
67,3.0,130.0,3.0,2.0,1.0,0.0,1.0,1660.0,1700.0,475.0,22.0,8.257904052734375
68,3.0,80.0,2.0,1.0,1.0,0.0,1.0,500.0,900.0,90.0,12.0,7.315218448638916
69,4.0,164.0,4.0,4.0,2.0,1.0,1.0,2159.0,5000.0,386.0,64.0,8.93721866607666
70,0.0,220.0,4.0,2.0,3.0,0.0,1.0,450.0,2422.0,125.0,33.0,8.016648292541504
71,4.0,45.0,1.0,1.0,0.0,0.0,1.0,0.0,1050.0,46.0,16.0,7.014814376831055
72,4.0,108.0,3.0,2.0,2.0,0.0,1.0,1290.0,5600.0,435.0,71.0,8.908829689025879
73,0.0,128.0,1.0,1.0,0.0,0.0,0.0,418.0,2100.0,182.0,28.0,7.911690711975098
74,3.0,60.0,1.0,1.0,0.0,1.0,1.0,450.0,1800.0,48.0,24.0,7.750614643096924
75,4.0,250.0,4.0,5.0,4.0,0.0,1.0,2050.0,9800.0,998.0,125.0,9.470471382141113
76,2.0,47.0,1.0,1.0,1.0,1.0,0.0,400.0,2200.0,0.0,33.0,7.876258850097656
77,0.0,170.0,4.0,3.0,4.0,1.0,1.0,744.0,2700.0,296.0,36.0,8.236685752868652
78,4.0,45.0,1.0,1.0,0.0,1.0,1.0,300.0,1240.0,0.0,16.0,7.350516319274902
79,4.0,42.0,1.0,1.0,1.0,0.0,1.0,686.0,3500.0,123.0,45.0,8.379079818725586
80,4.0,164.0,4.0,4.0,3.0,0.0,1.0,1840.0,6000.0,550.0,77.0,9.044049263000488
81,4.0,70.0,3.0,1.0,1.0,0.0,1.0,700.0,1020.0,200.0,13.0,7.56734561920166
82,2.0,100.0,4.0,3.0,1.0,0.0,1.0,600.0,2200.0,159.0,33.0,8.00403118133545
83,4.0,64.0,2.0,2.0,2.0,0.0,0.0,1300.0,4500.0,440.0,58.0,8.748146057128906
84,0.0,68.0,2.0,1.0,1.0,0.0,1.0,320.0,1200.0,27.0,16.0,7.355001926422119
85,0.0,75.0,2.0,2.0,2.0,1.0,1.0,620.0,2500.0,264.0,34.0,8.137103080749512
86,4.0,600.0,4.0,4.0,4.0,0.0,1.0,7400.0,8500.0,3368.0,108.0,9.872048377990723
87,4.0,63.0,2.0,2.0,0.0,1.0,1.0,590.0,1550.0,152.0,20.0,7.74630069732666
88,4.0,145.0,3.0,4.0,3.0,1.0,1.0,1200.0,6000.0,750.0,77.0,8.990691184997559
89,4.0,85.0,2.0,2.0,2.0,1.0,1.0,1500.0,2800.0,292.0,36.0,8.440095901489258
90,4.0,254.0,4.0,4.0,4.0,0.0,1.0,3366.0,9000.0,1800.0,115.0,9.566685676574707
91,2.0,350.0,4.0,4.0,4.0,0.0,0.0,1.0,9000.0,359.0,160.0,9.1612548828125
92,4.0,300.0,4.0,4.0,3.0,0.0,1.0,0.0,3500.0,584.0,53.0,8.327967643737793
93,0.0,296.0,4.0,3.0,2.0,0.0,1.0,0.0,13500.0,423.0,222.0,9.557540893554688
94,4.0,64.0,2.0,2.0,2.0,0.0,1.0,450.0,2800.0,30.0,36.0,8.106816291809082
95,4.0,133.0,3.0,2.0,0.0,0.0,1.0,813.0,2957.0,38.0,38.0,8.255048751831055
96,1.0,44.0,1.0,1.0,0.0,0.0,1.0,350.0,550.0,12.0,7.0,6.824373722076416
97,1.0,240.0,3.0,4.0,2.0,0.0,1.0,0.0,3000.0,250.0,46.0,8.100768089294434
98,2.0,70.0,3.0,2.0,1.0,0.0,1.0,490.0,2500.0,8.0,37.0,8.018296241760254
99,4.0,22.0,1.0,1.0,0.0,0.0,1.0,302.0,2050.0,45.0,26.0,7.7931742668151855
100,2.0,50.0,1.0,1.0,1.0,0.0,1.0,350.0,950.0,50.0,14.0,7.218909740447998
101,2.0,67.0,3.0,2.0,2.0,0.0,1.0,600.0,2200.0,50.0,33.0,7.966933727264404
102,4.0,31.0,1.0,1.0,0.0,0.0,0.0,430.0,2300.0,0.0,30.0,7.923348426818848
103,3.0,90.0,2.0,1.0,1.0,0.0,0.0,850.0,3468.0,191.0,45.0,8.423980712890625
104,3.0,109.0,3.0,3.0,1.0,0.0,1.0,2000.0,3800.0,300.0,49.0,8.724206924438477
105,0.0,400.0,4.0,2.0,2.0,1.0,1.0,0.0,2500.0,74.0,41.0,7.869401931762695
106,4.0,300.0,4.0,5.0,4.0,0.0,0.0,0.0,14000.0,1167.0,211.0,9.640888214111328
107,1.0,284.0,4.0,3.0,3.0,0.0,1.0,2340.0,6000.0,483.0,77.0,9.093918800354004
108,2.0,70.0,2.0,1.0,1.0,0.0,0.0,360.0,2400.0,30.0,36.0,7.946971416473389
109,3.0,309.0,4.0,5.0,4.0,0.0,1.0,2661.0,6500.0,682.0,84.0,9.20311450958252
110,4.0,70.0,2.0,1.0,0.0,0.0,1.0,0.0,2100.0,134.0,32.0,7.726212501525879
111,4.0,360.0,3.0,4.0,1.0,0.0,1.0,2300.0,10000.0,584.0,127.0,9.473550796508789
112,4.0,30.0,1.0,1.0,1.0,1.0,1.0,886.0,1500.0,0.0,20.0,7.786136627197266
113,1.0,80.0,2.0,2.0,2.0,0.0,1.0,832.0,2200.0,171.0,28.0,8.080856323242188
114,0.0,133.0,4.0,4.0,3.0,1.0,1.0,1500.0,7000.0,800.0,94.0,9.147933006286621
115,4.0,38.0,1.0,1.0,1.0,1.0,0.0,1620.0,2800.0,279.0,36.0,8.462947845458984
116,4.0,73.0,2.0,2.0,1.0,0.0,1.0,1100.0,3500.0,100.0,45.0,8.465057373046875
117,4.0,155.0,3.0,4.0,2.0,0.0,1.0,1500.0,2000.0,150.0,26.0,8.20985221862793
118,4.0,63.0,2.0,2.0,1.0,0.0,1.0,357.0,3200.0,50.0,41.0,8.202208518981934
119,4.0,58.0,2.0,1.0,1.0,0.0,1.0,0.0,1400.0,0.0,18.0,7.257707595825195
120,4.0,48.0,1.0,1.0,0.0,1.0,0.0,377.0,3450.0,0.0,44.0,8.261526107788086
121,4.0,210.0,3.0,4.0,3.0,0.0,1.0,1700.0,2790.0,834.0,36.0,8.586905479431152
122,0.0,100.0,3.0,2.0,2.0,0.0,1.0,340.0,1600.0,183.0,22.0,7.671360969543457
123,4.0,94.0,3.0,2.0,2.0,0.0,1.0,1337.0,3570.0,140.0,46.0,8.535819053649902
124,4.0,94.0,3.0,3.0,2.0,0.0,0.0,1220.0,5010.0,395.0,64.0,8.808368682861328
125,4.0,76.0,3.0,1.0,1.0,0.0,1.0,1200.0,2500.0,267.0,32.0,8.294049263000488
126,4.0,192.0,3.0,3.0,2.0,0.0,1.0,2100.0,7800.0,634.0,99.0,9.271529197692871
127,4.0,217.0,3.0,4.0,3.0,0.0,1.0,2884.0,6500.0,0.0,83.0,9.155673027038574
128,4.0,68.0,2.0,1.0,1.0,0.0,1.0,610.0,1400.0,35.0,18.0,7.632400989532471
129,4.0,110.0,3.0,2.0,2.0,0.0,1.0,1145.0,2400.0,247.0,31.0,8.249052047729492
130,0.0,95.0,2.0,2.0,1.0,0.0,1.0,660.0,1600.0,164.0,22.0,7.802618026733398
131,4.0,900.0,4.0,6.0,8.0,0.0,1.0,0.0,15000.0,4417.0,226.0,9.885374069213867
132,4.0,34.0,1.0,1.0,0.0,1.0,1.0,347.0,1200.0,45.0,16.0,7.383368015289307
133,4.0,192.0,3.0,4.0,3.0,0.0,1.0,2000.0,8000.0,0.0,102.0,9.220389366149902
134,2.0,62.0,2.0,2.0,1.0,0.0,1.0,350.0,1800.0,75.0,27.0,7.720017910003662
135,4.0,180.0,3.0,3.0,4.0,0.0,1.0,0.0,3700.0,184.0,56.0,8.279190063476562
136,1.0,44.0,1.0,1.0,0.0,0.0,0.0,350.0,916.0,12.0,12.0,7.163172245025635
137,0.0,100.0,2.0,1.0,1.0,1.0,1.0,250.0,1700.0,116.0,23.0,7.644919395446777
138,3.0,140.0,3.0,3.0,1.0,1.0,1.0,900.0,1370.0,100.0,18.0,7.778630256652832
139,4.0,170.0,3.0,3.0,3.0,0.0,0.0,1570.0,2800.0,648.0,36.0,8.528133392333984
140,4.0,100.0,3.0,2.0,2.0,1.0,1.0,0.0,1600.0,150.0,25.0,7.482119083404541
141,4.0,75.0,3.0,2.0,2.0,0.0,1.0,652.0,1600.0,82.0,21.0,7.764720439910889
142,3.0,52.0,2.0,1.0,0.0,0.0,1.0,200.0,1200.0,43.0,16.0,7.286191940307617
143,1.0,999.0,5.0,7.0,8.0,0.0,1.0,0.0,14000.0,667.0,211.0,9.607840538024902
144,4.0,270.0,4.0,4.0,4.0,0.0,1.0,2200.0,7000.0,1500.0,89.0,9.286467552185059
145,0.0,50.0,2.0,1.0,1.0,0.0,1.0,160.0,930.0,60.0,13.0,7.059617519378662
146,1.0,200.0,3.0,3.0,2.0,0.0,1.0,650.0,2210.0,184.0,34.0,8.032360076904297
147,4.0,71.0,2.0,2.0,0.0,0.0,1.0,430.0,1920.0,100.0,25.0,7.814399719238281
148,4.0,500.0,5.0,4.0,6.0,0.0,1.0,0.0,13000.0,250.0,196.0,9.506808280944824
149,4.0,60.0,2.0,1.0,0.0,0.0,1.0,0.0,1080.0,94.0,17.0,7.083387851715088
150,4.0,110.0,2.0,1.0,0.0,0.0,1.0,1100.0,1300.0,84.0,17.0,7.824845790863037
151,4.0,210.0,3.0,3.0,4.0,0.0,1.0,0.0,3294.0,276.0,50.0,8.19450569152832
152,4.0,220.0,3.0,4.0,3.0,0.0,1.0,2021.0,6000.0,996.0,77.0,9.115480422973633
153,0.0,200.0,3.0,2.0,5.0,1.0,1.0,0.0,4000.0,204.0,66.0,8.359602928161621
154,4.0,130.0,3.0,4.0,3.0,0.0,1.0,2300.0,4250.0,502.0,54.0,8.86883544921875
155,4.0,65.0,2.0,2.0,2.0,0.0,0.0,1037.0,4000.0,245.0,51.0,8.581856727600098
156,4.0,96.0,3.0,2.0,2.0,0.0,1.0,804.0,3200.0,250.0,41.0,8.365439414978027
157,4.0,660.0,4.0,5.0,5.0,0.0,0.0,4800.0,20000.0,1750.0,254.0,10.196194648742676
158,3.0,107.0,3.0,2.0,0.0,0.0,0.0,1460.0,3200.0,270.0,42.0,8.511778831481934
159,3.0,105.0,3.0,2.0,0.0,0.0,1.0,740.0,2200.0,9.0,29.0,7.999342918395996
160,3.0,100.0,3.0,2.0,0.0,0.0,1.0,900.0,3290.0,109.0,43.0,8.376320838928223
161,4.0,287.0,3.0,4.0,4.0,0.0,0.0,0.0,9000.0,430.0,136.0,9.166074752807617
162,1.0,24.0,1.0,1.0,0.0,1.0,0.0,230.0,1180.0,9.0,15.0,7.268919944763184
163,4.0,22.0,1.0,1.0,0.0,1.0,1.0,0.0,976.0,0.0,15.0,6.899723052978516
164,4.0,70.0,1.0,1.0,1.0,1.0,1.0,0.0,2529.0,142.0,39.0,7.9050726890563965
165,2.0,44.0,1.0,1.0,1.0,0.0,0.0,250.0,1500.0,17.0,22.0,7.489970684051514
166,4.0,150.0,3.0,2.0,2.0,1.0,1.0,0.0,2500.0,0.0,38.0,7.8395256996154785
167,4.0,90.0,1.0,2.0,2.0,0.0,0.0,998.0,2900.0,220.0,37.0,8.332308769226074
168,4.0,200.0,4.0,4.0,2.0,0.0,0.0,3000.0,2800.0,830.0,36.0,8.804924964904785
169,4.0,320.0,8.0,4.0,0.0,0.0,1.0,450.0,10500.0,350.0,158.0,9.346705436706543
170,2.0,90.0,2.0,1.0,1.0,1.0,1.0,550.0,1700.0,110.0,25.0,7.777373790740967
171,4.0,240.0,4.0,4.0,3.0,0.0,1.0,2500.0,2144.0,834.0,28.0,8.613775253295898
172,4.0,154.0,4.0,3.0,3.0,0.0,1.0,1684.0,7000.0,1020.0,89.0,9.189525604248047
173,4.0,60.0,2.0,2.0,2.0,0.0,1.0,2340.0,3230.0,284.0,41.0,8.682029724121094
174,1.0,101.0,3.0,2.0,0.0,0.0,1.0,780.0,2380.0,91.0,31.0,8.096512794494629
175,2.0,140.0,3.0,4.0,2.0,1.0,1.0,0.0,3090.0,0.0,55.0,8.053887367248535
176,4.0,500.0,4.0,5.0,8.0,0.0,1.0,0.0,15000.0,1850.0,226.0,9.745721817016602
177,4.0,110.0,3.0,3.0,3.0,0.0,1.0,1195.0,2350.0,687.0,30.0,8.357728004455566
178,4.0,110.0,3.0,3.0,2.0,0.0,1.0,0.0,4800.0,50.0,73.0,8.501876831054688
179,0.0,90.0,2.0,2.0,2.0,0.0,1.0,200.0,2000.0,84.0,27.0,7.74586820602417
180,4.0,384.0,4.0,6.0,4.0,1.0,0.0,3500.0,15000.0,344.0,191.0,9.854350090026855
181,4.0,57.0,2.0,1.0,1.0,0.0,1.0,570.0,1500.0,67.0,20.0,7.676937103271484
182,4.0,160.0,3.0,3.0,2.0,0.0,0.0,1650.0,1500.0,419.0,20.0,8.185907363891602
183,4.0,39.0,1.0,1.0,0.0,0.0,1.0,330.0,1250.0,19.0,16.0,7.387709140777588
184,1.0,78.0,1.0,2.0,1.0,0.0,1.0,0.0,2290.0,143.0,30.0,7.80954122543335
185,2.0,36.0,1.0,1.0,1.0,0.0,1.0,0.0,762.0,15.0,14.0,6.674561500549316
186,1.0,70.0,2.0,1.0,1.0,0.0,1.0,558.0,1200.0,0.0,16.0,7.481555938720703
187,0.0,45.0,1.0,1.0,1.0,1.0,0.0,300.0,3200.0,0.0,43.0,8.173011779785156
188,4.0,200.0,3.0,4.0,3.0,0.0,1.0,3500.0,8500.0,1250.0,108.0,9.50009536743164
189,4.0,100.0,3.0,3.0,3.0,0.0,1.0,0.0,4300.0,120.0,65.0,8.408717155456543
190,4.0,42.0,1.0,1.0,1.0,1.0,1.0,0.0,5000.0,0.0,64.0,8.530109405517578
191,4.0,280.0,4.0,4.0,1.0,0.0,0.0,3000.0,8000.0,292.0,102.0,9.34057903289795
192,4.0,28.0,1.0,1.0,1.0,1.0,0.0,615.0,2800.0,42.0,36.0,8.158802032470703
193,4.0,30.0,1.0,1.0,0.0,1.0,0.0,296.0,1826.0,30.0,24.0,7.685703277587891
194,0.0,85.0,3.0,2.0,1.0,0.0,1.0,337.0,1500.0,88.0,20.0,7.573531150817871
195,1.0,83.0,1.0,1.0,1.0,1.0,1.0,500.0,1080.0,59.0,14.0,7.410952091217041
196,1.0,85.0,3.0,2.0,2.0,0.0,0.0,550.0,3300.0,150.0,42.0,8.304741859436035
197,0.0,90.0,3.0,2.0,2.0,0.0,1.0,325.0,1600.0,105.0,22.0,7.6270575523376465
198,0.0,50.0,2.0,1.0,0.0,0.0,1.0,0.0,900.0,100.0,12.0,6.920671463012695
199,3.0,50.0,1.0,1.0,0.0,0.0,1.0,600.0,2900.0,134.0,38.0,8.20876407623291
200,0.0,300.0,3.0,2.0,3.0,1.0,1.0,0.0,6700.0,539.0,110.0,8.90245532989502
201,2.0,39.0,1.0,1.0,0.0,0.0,1.0,350.0,850.0,27.0,13.0,7.123672962188721
202,4.0,750.0,4.0,4.0,6.0,0.0,1.0,0.0,15000.0,2084.0,226.0,9.7590970993042
203,2.0,60.0,2.0,1.0,0.0,0.0,1.0,222.0,1100.0,46.0,17.0,7.234177112579346
204,3.0,68.0,2.0,1.0,0.0,1.0,1.0,750.0,1250.0,9.0,17.0,7.614312171936035
205,4.0,70.0,2.0,1.0,1.0,0.0,1.0,230.0,1250.0,50.0,16.0,7.3440728187561035
206,4.0,90.0,2.0,2.0,1.0,0.0,0.0,900.0,6500.0,89.0,83.0,8.932344436645508
207,3.0,258.0,5.0,6.0,0.0,0.0,1.0,0.0,8700.0,670.0,133.0,9.159467697143555
208,4.0,200.0,2.0,2.0,6.0,0.0,1.0,0.0,4500.0,292.0,68.0,8.488999366760254
209,4.0,123.0,2.0,2.0,2.0,0.0,1.0,1800.0,2990.0,625.0,38.0,8.604104995727539
210,4.0,127.0,3.0,2.0,2.0,0.0,0.0,220.0,2150.0,67.0,33.0,7.812378406524658
211,0.0,180.0,4.0,2.0,2.0,0.0,1.0,0.0,1800.0,210.0,30.0,7.621195316314697
212,4.0,110.0,3.0,2.0,0.0,1.0,1.0,0.0,2900.0,384.0,44.0,8.110426902770996
213,3.0,70.0,2.0,2.0,1.0,0.0,0.0,585.0,1719.0,77.0,23.0,7.785305023193359
214,4.0,35.0,1.0,1.0,1.0,0.0,0.0,720.0,3000.0,130.0,39.0,8.266164779663086
215,4.0,219.0,3.0,2.0,2.0,0.0,1.0,0.0,2900.0,150.0,44.0,8.037543296813965
216,3.0,25.0,1.0,1.0,0.0,0.0,1.0,50.0,700.0,0.0,10.0,6.634633541107178
217,3.0,170.0,4.0,5.0,0.0,0.0,1.0,1200.0,7100.0,639.0,92.0,9.108529090881348
218,3.0,45.0,1.0,1.0,0.0,0.0,1.0,900.0,1570.0,98.0,21.0,7.859413146972656
219,0.0,420.0,4.0,4.0,2.0,1.0,1.0,0.0,7000.0,200.0,115.0,8.897818565368652
220,2.0,46.0,1.0,1.0,0.0,0.0,1.0,0.0,1040.0,48.0,16.0,7.007600784301758
221,4.0,145.0,3.0,3.0,2.0,0.0,0.0,1088.0,5800.0,250.0,74.0,8.88364028930664
222,0.0,59.0,2.0,2.0,1.0,0.0,1.0,190.0,1100.0,59.0,15.0,7.218909740447998
223,0.0,225.0,4.0,3.0,0.0,0.0,1.0,1850.0,7500.0,466.0,100.0,9.202005386352539
224,4.0,210.0,4.0,4.0,3.0,0.0,1.0,2270.0,4675.0,1110.0,60.0,9.001592636108398
225,2.0,76.0,1.0,1.0,0.0,0.0,1.0,209.0,1249.0,52.0,19.0,7.3330230712890625
226,4.0,220.0,3.0,4.0,3.0,1.0,1.0,2500.0,5150.0,1250.0,66.0,9.101306915283203
227,4.0,109.0,3.0,2.0,2.0,0.0,1.0,1746.0,2500.0,134.0,32.0,8.39231014251709
228,0.0,95.0,2.0,1.0,1.0,0.0,1.0,646.0,1000.0,120.0,14.0,7.484930515289307
229,4.0,32.0,1.0,1.0,0.0,1.0,1.0,280.0,1500.0,50.0,20.0,7.523481369018555
230,4.0,480.0,4.0,6.0,5.0,0.0,1.0,6660.0,15000.0,3063.0,191.0,10.123064994812012
231,4.0,53.0,1.0,1.0,1.0,0.0,1.0,694.0,4390.0,200.0,56.0,8.583168029785156
232,4.0,40.0,1.0,1.0,0.0,1.0,1.0,0.0,780.0,17.0,12.0,6.6970343589782715
233,4.0,50.0,1.0,1.0,1.0,0.0,0.0,500.0,3223.0,100.0,41.0,8.259716987609863
234,4.0,60.0,1.0,1.0,0.0,0.0,1.0,0.0,1300.0,255.0,20.0,7.362645149230957
235,2.0,64.0,2.0,2.0,2.0,1.0,1.0,450.0,1500.0,50.0,22.0,7.6123366355896
236,3.0,140.0,3.0,3.0,2.0,0.0,0.0,2280.0,12000.0,535.0,155.0,9.613870620727539
237,4.0,121.0,3.0,3.0,1.0,0.0,1.0,800.0,2040.0,334.0,26.0,8.071218490600586
238,1.0,43.0,1.0,1.0,1.0,0.0,0.0,498.0,2100.0,84.0,27.0,7.9047040939331055
239,4.0,20.0,1.0,1.0,1.0,1.0,0.0,1700.0,1360.0,0.0,18.0,8.032360076904297
240,1.0,58.0,2.0,1.0,1.0,0.0,1.0,289.0,950.0,11.0,13.0,7.142036437988281
241,0.0,570.0,5.0,6.0,7.0,0.0,0.0,0.0,8330.0,873.0,137.0,9.142168998718262
242,4.0,88.0,2.0,1.0,1.0,0.0,1.0,980.0,2790.0,0.0,36.0,8.244596481323242
243,4.0,89.0,3.0,2.0,2.0,0.0,1.0,900.0,6000.0,184.0,77.0,8.876544952392578
244,2.0,47.0,1.0,1.0,1.0,1.0,0.0,400.0,2200.0,0.0,33.0,7.876258850097656
245,4.0,40.0,1.0,1.0,0.0,0.0,1.0,0.0,1100.0,50.0,17.0,7.063048362731934
246,3.0,40.0,1.0,1.0,0.0,0.0,0.0,386.0,1950.0,91.0,26.0,7.805474758148193
247,3.0,60.0,1.0,2.0,1.0,0.0,1.0,400.0,750.0,80.0,10.0,7.123672962188721
248,4.0,25.0,1.0,1.0,0.0,0.0,1.0,257.0,1650.0,0.0,21.0,7.564756870269775
249,2.0,50.0,2.0,1.0,0.0,0.0,1.0,340.0,1130.0,30.0,17.0,7.325149059295654
